policy,sid,turn,arrival_s,node,history_blocks,missing_blocks,recovery,ttft_s,slo_success,seed
on_demand,29,1,91.5,0,18,18,recompute,2.65833333333336,0,1
on_demand,22,2,94.0,2,27,27,recompute,2.4583333333333335,0,1
on_demand,35,5,95.0,0,60,0,hit,0.375,1,1
on_demand,13,6,96.0,1,71,71,recompute,6.083333333333334,0,1
on_demand,4,2,97.0,0,27,27,recompute,2.5416666666666665,0,1
on_demand,2,2,97.5,2,32,32,recompute,2.875,0,1
on_demand,14,4,101.0,2,45,11,transfer,0.8,1,1
on_demand,32,3,101.0,0,34,21,transfer,1.3,1,1
on_demand,26,4,101.5,3,48,0,hit,0.25,1,1
on_demand,6,3,102.5,1,39,39,recompute,3.5,0,1
on_demand,29,2,102.5,0,31,0,hit,0.3499999999999943,1,1
on_demand,38,3,102.5,2,34,34,recompute,3.041666666666667,0,1
on_demand,31,2,103.0,3,35,35,recompute,3.0416666666666665,0,1
on_demand,34,6,106.0,0,58,58,recompute,5.041666666666666,0,1
on_demand,39,1,107.0,1,13,13,recompute,1.4583333333333333,1,1
on_demand,37,2,108.5,2,37,37,recompute,3.4583333333333335,0,1
on_demand,11,3,110.5,1,31,31,recompute,2.916666666666667,0,1
on_demand,27,2,110.5,3,35,35,transfer,2.0416666666666665,0,1
on_demand,32,4,111.0,0,43,0,hit,0.6083333333333437,1,1
on_demand,9,5,111.5,0,63,63,recompute,6.350000000000018,0,1
on_demand,4,3,112.0,2,37,37,transfer,2.6833333333333287,0,1
on_demand,17,3,112.5,3,40,40,recompute,4.208333333333338,0,1
on_demand,19,4,112.5,1,51,51,recompute,5.6333333333333355,0,1
on_demand,26,5,114.0,3,57,0,hit,3.700000000000012,0,1
on_demand,20,3,114.5,2,28,28,recompute,3.166666666666662,0,1
on_demand,22,3,114.5,3,37,37,recompute,6.875000000000015,0,1
on_demand,39,2,120.5,1,25,0,hit,0.16666666666666666,1,1
on_demand,14,5,122.0,0,54,54,recompute,4.666666666666667,0,1
on_demand,8,5,123.5,1,62,62,recompute,5.291666666666667,0,1
on_demand,6,4,124.5,2,47,47,transfer,2.5166666666666666,0,1
on_demand,9,6,126.0,0,74,0,hit,0.9916666666666742,1,1
on_demand,38,4,127.0,2,43,5,transfer,0.8416666666666686,1,1
